donor,proportion,passage,harvestday,well,um_pb2
CSES25,0.01478,1,6,2,0
CT2,0.02254,1,6,2,0
CT4,0.02869,1,6,2,0
ESI017,0.02432,1,6,2,0
ESI049,0.05654,1,6,2,0
ESI051,0.02726,1,6,2,0
Genea15,0.00776,1,6,2,0
Genea16,0.02196,1,6,2,0
Genea42,0.01491,1,6,2,0
Genea47,0.01041,1,6,2,0
Genea52,0.03577,1,6,2,0
HS401,0.09514,1,6,2,0
HS420,0.02336,1,6,2,0
HUES42,0.02756,1,6,2,0
HUES44,0.0328,1,6,2,0
HUES45,0.01526,1,6,2,0
HUES49,0.02367,1,6,2,0
HUES63,0.04401,1,6,2,0
HUES64,0.01742,1,6,2,0
HUES75,0.02633,1,6,2,0
Mel2,0.01124,1,6,2,0
RUES1,0.01282,1,6,2,0
UCLA10,0.0301,1,6,2,0
UCLA13,0.02183,1,6,2,0
UCLA2,0.00904,1,6,2,0
UCSF4,0.02335,1,6,2,0
UM14-1,0.04341,1,6,2,0
UM77-2,0.0122,1,6,2,0
WA7,0.00577,1,6,2,0
WA09,0.02862,1,6,2,0
WA13,0.03996,1,6,2,0
WA15,0.03512,1,6,2,0
WA17,0.04533,1,6,2,0
WA22,0.02979,1,6,2,0
WA24,0.00505,1,6,2,0
CHB4,0.00628,1,6,2,10
CHB11,0.02127,1,6,2,10
CSES15,0.04688,1,6,2,10
CSES25,0.01831,1,6,2,10
CT2,0.0312,1,6,2,10
CT4,0.02862,1,6,2,10
ESI017,0.02012,1,6,2,10
ESI049,0.07651,1,6,2,10
ESI051,0.02652,1,6,2,10
Genea15,0.00914,1,6,2,10
Genea16,0.01595,1,6,2,10
Genea42,0.01309,1,6,2,10
Genea47,0.00733,1,6,2,10
Genea52,0.02367,1,6,2,10
HS401,0.11126,1,6,2,10
HS420,0.01784,1,6,2,10
HUES42,0.02158,1,6,2,10
HUES44,0.02884,1,6,2,10
HUES45,0.01273,1,6,2,10
HUES49,0.02733,1,6,2,10
HUES63,0.05564,1,6,2,10
HUES64,0.01944,1,6,2,10
HUES75,0.02171,1,6,2,10
Mel2,0.00886,1,6,2,10
RUES1,0.01184,1,6,2,10
UCLA10,0.024,1,6,2,10
UCLA13,0.01984,1,6,2,10
UCLA2,0.00899,1,6,2,10
UCSF4,0.03384,1,6,2,10
UM14-1,0.03071,1,6,2,10
UM77-2,0.01327,1,6,2,10
WA7,0.0074,1,6,2,10
WA09,0.03212,1,6,2,10
WA13,0.0402,1,6,2,10
WA15,0.02572,1,6,2,10
WA17,0.05026,1,6,2,10
WA22,0.02448,1,6,2,10
WA24,0.00722,1,6,2,10
CHB4,0.00713,1,6,2,3
CHB11,0.0208,1,6,2,3
CSES15,0.04989,1,6,2,3
CSES25,0.01829,1,6,2,3
CT2,0.02724,1,6,2,3
CT4,0.03026,1,6,2,3
ESI017,0.02439,1,6,2,3
ESI049,0.07074,1,6,2,3
ESI051,0.02403,1,6,2,3
Genea15,0.00702,1,6,2,3
Genea16,0.01709,1,6,2,3
Genea42,0.01157,1,6,2,3
Genea47,0.00683,1,6,2,3
Genea52,0.02618,1,6,2,3
HS401,0.10946,1,6,2,3
HS420,0.02174,1,6,2,3
HUES42,0.02186,1,6,2,3
HUES44,0.03115,1,6,2,3
HUES45,0.01273,1,6,2,3
HUES49,0.02728,1,6,2,3
HUES63,0.05398,1,6,2,3
HUES64,0.01857,1,6,2,3
HUES75,0.0225,1,6,2,3
Mel2,0.01099,1,6,2,3
RUES1,0.01329,1,6,2,3
UCLA10,0.02405,1,6,2,3
UCLA13,0.02133,1,6,2,3
UCLA2,0.00747,1,6,2,3
UCSF4,0.03105,1,6,2,3
UM14-1,0.02934,1,6,2,3
UM77-2,0.01361,1,6,2,3
WA7,0.00603,1,6,2,3
WA09,0.0312,1,6,2,3
WA13,0.03777,1,6,2,3
WA15,0.02744,1,6,2,3
WA17,0.05231,1,6,2,3
WA22,0.02835,1,6,2,3
WA24,0.00507,1,6,2,3
